"id","credit","duration","total","scans","voidedScans","attemptsWoScan","modifiedQuantities","fraud"
1002183,"High",23,6.3,1,7,3,5,0
1002184,"Low",1080,46.39,18,6,10,0,0
1002185,"High",988,89.76,28,0,6,2,0
1002186,"Low",649,71.3,18,4,9,0,0
1002187,"Low",266,3.53,22,4,10,3,0
1002188,"Low",1578,44.49,5,7,2,1,0
1002189,"Low",870,69.69,27,5,0,4,0
1002190,"High",338,12.77,15,9,4,3,0
1002191,"High",345,90,27,11,10,5,1
1002192,"High",905,19.98,16,4,3,5,0
1002193,"Low",606,46.91,23,4,3,3,0
1002194,"Low",532,1.35,29,2,0,0,0
1002195,"High",1374,96.21,26,3,8,3,1
1002196,"High",837,90.96,10,8,9,1,0
1002197,"High",383,26.66,29,0,7,3,0
1002198,"High",821,98.24,1,4,10,2,0
1002199,"High",1728,57.98,5,6,2,1,0
1002200,"High",54,64.63,28,6,2,5,0
1002201,"High",700,18.29,30,9,0,1,0
1002202,"High",412,70.79,24,6,10,1,0
1002203,"Low",807,67.35,1,5,1,3,0
1002204,"High",158,8.01,13,11,7,3,0
1002205,"High",1275,92.48,8,5,0,0,0
1002206,"High",1053,73.37,21,2,2,4,0
1002207,"High",1321,72.72,12,9,8,5,0
1002208,"Low",1671,74.72,26,7,5,2,1
1002209,"Low",63,72.4,7,5,6,1,0
1002210,"High",844,53.61,15,6,8,0,0
1002211,"High",1584,94.73,30,4,6,2,1
1002212,"High",531,15.67,19,5,1,5,0
1002213,"Low",1191,41.75,9,4,9,3,0
1002214,"Low",1621,75.66,1,8,7,3,0
1002215,"Low",1195,22.37,14,0,5,4,0
1002216,"High",1212,71.21,7,7,0,4,0
1002217,"High",509,1.56,24,1,6,1,0
1002218,"High",647,45.15,16,7,5,2,0
1002219,"High",1826,99.84,30,3,4,3,1
1002220,"High",1107,1.19,19,8,6,0,0
1002221,"Low",668,64.33,6,9,2,2,0
1002222,"Low",248,29.91,4,6,7,2,0
1002223,"High",861,79.77,17,7,3,0,0
1002224,"High",1125,3.63,17,4,6,3,0
1002225,"High",755,17.52,15,0,0,0,0
1002226,"Low",768,80.05,29,0,7,1,1
1002227,"Low",297,2.7,20,7,1,2,0
1002228,"Low",763,83.78,29,9,7,4,1
1002229,"High",844,14.22,14,2,7,1,0
1002230,"High",1397,55.92,17,5,9,5,0
1002231,"High",1501,75.12,28,7,0,1,0
1002232,"High",1655,28.88,14,7,8,1,0
1002233,"High",1180,99.82,3,10,0,2,0
1002234,"High",447,66.47,23,9,1,0,0
1002235,"High",500,13.15,8,5,9,3,0
1002236,"High",1155,65.88,14,3,5,5,0
1002237,"Low",1582,89.92,26,11,3,2,1
1002238,"Low",875,23.13,24,5,3,1,0
1002239,"High",1545,91.64,1,1,9,2,0
1002240,"High",1207,77.88,20,8,8,4,0
1002241,"High",944,86.24,24,1,5,5,0
1002242,"Low",1731,48.05,6,4,2,4,0
1002243,"Low",1539,19.2,9,8,3,1,0
1002244,"Low",604,67.6,22,1,7,0,0
1002245,"High",467,61.99,18,0,6,2,0
1002246,"High",1163,97.27,15,2,10,3,0
1002247,"Low",266,19.63,29,10,4,4,1
1002248,"Low",1123,52.6,2,4,6,3,0
1002249,"Low",510,27.58,26,6,0,2,0
1002250,"High",180,97.93,6,6,4,0,0
1002251,"High",1597,38.71,16,7,7,1,0
1002252,"Low",823,18.71,5,6,5,0,0
1002253,"High",774,93,10,5,6,5,0
1002254,"Low",463,35.29,13,2,10,2,0
1002255,"Low",553,17.48,19,3,7,2,0
1002256,"High",1581,5.04,12,4,3,3,0
1002257,"High",239,50.98,21,3,1,2,0
1002258,"Low",1219,31.53,20,8,4,0,0
1002259,"Low",1160,38.09,19,7,4,1,0
1002260,"High",88,28.1,12,1,4,2,0
1002261,"High",610,30.75,12,1,6,3,0
1002262,"Low",1776,73.31,11,10,8,0,0
1002263,"Low",118,84.23,8,7,9,1,0
1002264,"High",10,87.4,12,2,3,2,0
1002265,"High",1048,14.28,19,6,8,5,0
1002266,"Low",181,65.8,23,10,3,0,0
1002267,"Low",67,72.5,30,1,5,5,0
1002268,"High",942,37.02,12,8,1,0,0
1002269,"High",755,43.8,14,9,8,0,0
1002270,"Low",507,41.12,6,6,7,0,0
1002271,"High",841,65,6,1,1,1,0
1002272,"High",1668,33.45,28,6,6,3,1
1002273,"High",907,13.44,15,2,7,0,0
1002274,"High",1207,29.44,27,6,7,1,1
1002275,"High",1305,52.41,20,6,8,0,0
1002276,"High",557,75.5,29,5,7,5,0
1002277,"Low",1072,10.61,29,2,6,2,1
1002278,"High",284,90.58,18,3,6,2,0
1002279,"Low",799,12.85,14,8,0,0,0
1002280,"Low",159,10.29,16,10,0,1,0
1002281,"High",1601,59.71,11,5,5,3,0
1002282,"Low",1463,20.54,27,10,10,0,1
1002283,"Low",399,70.6,27,6,4,2,1
1002284,"High",291,17.8,17,1,4,5,0
1002285,"Low",1803,29.83,18,0,0,4,0
1002286,"Low",1126,37.42,13,2,2,1,0
1002287,"Low",882,18.19,19,0,1,0,0
1002288,"High",1125,65.58,7,5,9,1,0
1002289,"Low",1793,57.8,24,4,0,2,0
1002290,"High",202,19.37,8,4,7,2,0
1002291,"Low",519,34.17,20,9,0,5,0
1002292,"Low",1823,35.74,11,1,5,4,0
1002293,"High",1177,16.01,29,7,3,3,0
1002294,"High",1494,56.86,7,1,10,2,0
1002295,"Low",373,49.93,13,0,5,5,0
1002296,"High",1251,33.05,23,4,4,2,0
1002297,"Low",1425,56.54,29,4,1,1,1
1002298,"Low",1250,30.85,13,0,2,4,0
1002299,"High",1156,57.05,12,1,7,4,0
1002300,"High",129,44.09,9,8,5,4,0
1002301,"Low",949,86.57,1,5,10,1,0
1002302,"Low",211,27.62,17,1,4,1,0
1002303,"High",61,71.85,18,9,7,4,0
1002304,"Low",962,43.4,8,7,3,0,0
1002305,"High",553,1.86,7,4,7,4,0
1002306,"High",1177,41.83,17,6,10,1,0
1002307,"High",7,15.09,5,5,4,3,0
1002308,"Low",1355,95.15,1,7,10,5,0
1002309,"High",1412,50.59,20,6,8,5,0
1002310,"Low",194,18.21,30,5,0,5,0
1002311,"High",176,60.53,11,2,0,3,0
1002312,"Low",5,35.1,7,5,8,1,0
1002313,"High",1738,96.28,6,1,6,2,0
1002314,"High",1631,46.02,22,2,4,0,0
1002315,"Low",301,45.49,13,6,10,5,0
1002316,"Low",696,15.5,19,8,1,0,0
1002317,"Low",1751,46.63,29,3,1,2,1
1002318,"Low",142,54.67,28,4,3,4,0
1002319,"Low",299,29.75,17,0,5,3,0
1002320,"Low",61,47.26,30,0,9,3,0
1002321,"High",51,23.57,17,7,7,3,0
1002322,"High",890,1.83,16,0,9,0,0
1002323,"Low",1323,57.52,2,10,3,0,0
1002324,"Low",1585,60.33,7,1,8,4,0
1002325,"Low",1186,1.05,20,3,7,2,0
1002326,"Low",1189,81.1,14,4,5,1,0
1002327,"High",1737,0.87,28,7,7,1,1
1002328,"High",1134,48.77,4,9,8,2,0
1002329,"High",526,61.95,19,3,4,5,0
1002330,"Low",364,94.66,1,9,1,2,0
1002331,"High",1099,66.54,5,8,4,2,0
1002332,"High",1139,25.51,22,9,9,5,0
1002333,"High",466,78.77,24,0,5,3,0
1002334,"Low",1016,73.33,22,10,6,0,1
1002335,"High",1164,93.52,27,2,5,0,0
1002336,"Low",1028,56.99,18,2,6,3,0
1002337,"Low",243,92.11,9,4,3,1,0
1002338,"High",194,88.04,2,1,5,3,0
1002339,"Low",1444,47.13,17,1,6,5,0
1002340,"Low",763,61.51,18,2,7,5,0
1002341,"High",687,99.17,29,3,2,0,0
1002342,"High",433,13.05,7,4,1,5,0
1002343,"High",716,60.97,20,4,7,1,0
1002344,"High",587,28.05,13,10,1,4,0
1002345,"High",340,85.06,18,5,2,5,0
1002346,"Low",383,77.93,5,6,2,5,0
1002347,"High",1335,24.05,26,0,5,5,0
1002348,"High",242,72.41,24,8,3,4,0
1002349,"High",1029,63.38,16,9,10,4,0
1002350,"Low",872,84.9,5,3,5,4,0
1002351,"Low",1108,93.27,22,8,0,0,0
1002352,"Low",474,47.48,10,8,3,4,0
1002353,"High",1784,63.25,8,1,0,2,0
1002354,"High",22,41.69,6,6,10,3,0
1002355,"High",877,53.02,3,6,8,4,0
1002356,"High",399,81.29,3,10,4,4,0
1002357,"Low",388,39.81,4,4,0,2,0
1002358,"Low",400,55.9,2,1,9,4,0
1002359,"Low",830,3.12,3,0,7,1,0
1002360,"High",375,37.33,4,10,9,2,0
1002361,"Low",1334,5.44,8,7,5,3,0
1002362,"High",203,63.28,4,2,6,1,0
1002363,"Low",1010,11.24,2,9,4,2,0
1002364,"Low",212,27.56,26,1,7,1,0
1002365,"High",860,91.08,27,5,10,2,0
1002366,"Low",1545,29.91,5,7,4,2,0
1002367,"Low",220,48.67,22,5,4,3,0
1002368,"Low",1510,19.31,1,3,3,3,0
1002369,"Low",843,53.86,28,0,10,1,1
1002370,"High",1553,46.4,14,3,7,4,0
1002371,"High",1713,95.48,15,9,10,5,0
1002372,"High",1829,98.66,9,7,2,4,0
1002373,"High",136,81.75,12,9,10,0,0
1002374,"Low",59,12.73,13,9,10,0,0
1002375,"Low",1585,4,8,4,8,5,0
1002376,"Low",960,62.03,4,8,7,2,0
1002377,"Low",1206,69.78,2,11,8,0,0
1002378,"High",1290,53.1,14,7,5,2,0
1002379,"High",1095,16.4,17,0,10,0,0
1002380,"High",193,74.38,20,2,2,0,0
1002381,"Low",444,68.75,1,11,3,5,0
1002382,"Low",1034,82.25,1,9,5,0,0
1002383,"Low",806,90.42,30,2,6,4,1
1002384,"Low",1147,11.59,22,4,1,4,0
1002385,"High",216,97.98,14,5,5,5,0
1002386,"High",358,87.69,16,9,7,2,0
1002387,"High",1167,62.56,6,7,7,5,0
1002388,"Low",459,15.66,1,10,9,1,0
1002389,"Low",1356,44.18,10,2,5,0,0
1002390,"High",111,44.76,26,5,5,3,0
1002391,"High",284,18.89,22,2,3,5,0
1002392,"Low",1217,27.02,1,8,0,4,0
1002393,"High",1756,90.2,24,9,7,2,1
1002394,"Low",357,88.16,17,1,4,5,0
1002395,"Low",164,98.34,29,0,8,0,0
1002396,"Low",404,9.22,17,5,8,4,0
1002397,"Low",1070,2,5,4,3,5,0
1002398,"High",730,47.2,23,7,1,4,0
1002399,"Low",867,86.78,30,11,10,3,1
1002400,"High",1744,67.68,24,7,0,1,0
1002401,"Low",736,60.67,2,0,5,0,0
1002402,"High",77,30.3,21,7,1,2,0
1002403,"High",635,8.89,12,10,3,2,0
1002404,"Low",987,24.81,6,2,1,0,0
1002405,"Low",550,5.89,22,10,4,5,0
1002406,"Low",1703,47.78,6,0,5,5,0
1002407,"High",817,94.22,4,2,0,3,0
1002408,"High",1620,55.06,27,8,8,3,1
1002409,"High",1408,63.72,13,0,8,3,0
1002410,"Low",1470,19.09,23,4,10,4,1
1002411,"Low",470,58.56,9,6,5,0,0
1002412,"High",1712,16.5,27,4,4,4,0
1002413,"High",1693,24.02,12,3,8,2,0
1002414,"High",1399,76,22,1,0,3,0
1002415,"High",1559,24.65,6,10,10,3,0
1002416,"High",359,40.78,24,10,10,3,0
1002417,"Low",1621,75.85,7,9,10,2,0
1002418,"High",1213,23.07,28,0,3,1,0
1002419,"High",1612,8.66,10,3,0,0,0
1002420,"Low",1672,11.51,2,8,6,2,0
1002421,"High",1096,33.4,18,4,2,1,0
1002422,"Low",1045,53.44,9,0,2,5,0
1002423,"Low",1429,18.72,4,9,9,0,0
1002424,"Low",452,59.16,2,1,10,5,0
1002425,"High",631,93.04,26,5,1,4,0
1002426,"Low",52,94.89,13,6,6,5,0
1002427,"High",1099,58.32,6,11,4,0,0
1002428,"High",758,11,27,10,4,5,0
1002429,"High",1290,46.51,11,3,1,1,0
1002430,"High",1403,68.1,19,3,3,0,0
1002431,"Low",641,52.96,27,6,10,3,1
1002432,"High",577,94.11,8,2,4,1,0
1002433,"Low",1079,80.03,2,11,0,0,0
1002434,"Low",729,14.43,17,10,10,5,0
1002435,"High",965,77.04,25,3,1,5,0
1002436,"High",140,46.81,17,6,4,2,0
1002437,"Low",977,66.24,15,0,1,0,0
1002438,"High",1683,12.7,9,8,2,3,0
1002439,"Low",1767,63.82,22,2,10,2,1
1002440,"Low",1171,26.88,4,10,8,0,0
1002441,"Low",491,49.4,24,11,4,1,1
1002442,"Low",1215,6.4,9,2,2,0,0
1002443,"Low",349,94.01,27,0,6,2,0
1002444,"Low",632,81.61,12,5,3,4,0
1002445,"High",1165,39.74,12,0,0,2,0
1002446,"Low",106,51.59,17,2,8,0,0
1002447,"High",43,12.83,21,0,3,1,0
1002448,"Low",1123,72.89,29,4,9,1,1
1002449,"High",338,76.18,1,11,9,0,0
1002450,"High",521,26.75,21,7,9,3,0
1002451,"Low",1569,32.59,14,1,8,3,0
1002452,"High",491,53.36,30,1,2,3,0
1002453,"Low",1701,33.4,2,6,9,2,0
1002454,"High",1094,85.58,4,8,3,0,0
1002455,"High",1618,22.24,18,3,10,0,0
1002456,"High",27,97.77,26,2,5,0,0
1002457,"Low",1074,52.76,24,9,10,2,1
1002458,"High",385,69.1,6,3,8,4,0
1002459,"High",313,92.25,2,11,0,0,0
1002460,"High",474,65.6,30,6,7,2,0
1002461,"High",556,18.38,14,11,1,3,0
1002462,"Low",937,76.23,6,3,2,5,0
1002463,"High",448,14.21,9,8,8,1,0
1002464,"High",545,3.04,22,1,6,3,0
1002465,"Low",591,86.58,17,5,2,4,0
1002466,"High",833,0.63,20,7,10,1,0
1002467,"High",479,33.23,28,6,10,5,1
1002468,"Low",426,12.67,22,2,3,1,0
1002469,"Low",1546,4.42,24,9,10,3,1
1002470,"High",658,30.88,27,10,9,1,1
1002471,"Low",1031,67.46,19,3,9,2,0
1002472,"High",1279,83.02,1,5,0,5,0
1002473,"High",637,63.3,21,2,2,1,0
1002474,"Low",898,62.49,26,7,10,4,1
1002475,"High",1657,36,23,7,3,2,0
1002476,"Low",31,99.24,11,3,3,4,0
1002477,"High",1643,57.44,20,2,1,4,0
1002478,"High",30,3.27,28,2,7,2,0
1002479,"Low",1538,57.34,22,10,3,0,1
1002480,"Low",1473,24.23,14,1,10,3,0
1002481,"Low",592,69.45,22,0,3,0,0
1002482,"High",755,11.72,1,4,7,4,0
1002483,"Low",29,76.2,14,1,2,3,0
1002484,"High",1170,84.7,25,6,3,0,0
1002485,"Low",1346,26.94,22,8,5,1,1
1002486,"High",1813,5.02,8,1,3,4,0
1002487,"Low",1219,46.44,27,9,9,3,1
1002488,"Low",467,23.13,24,3,3,2,0
1002489,"High",1366,43.68,8,9,9,2,0
1002490,"High",1014,28.68,29,11,9,1,1
1002491,"High",793,41.92,3,8,2,2,0
1002492,"High",554,70.78,6,6,0,0,0
1002493,"Low",453,64.19,6,10,1,5,0
1002494,"High",1075,29.01,26,6,9,4,1
1002495,"High",1569,58.98,4,5,5,5,0
1002496,"High",890,35.79,25,9,5,2,0
1002497,"Low",123,20.96,29,7,1,2,1
1002498,"High",1302,74.31,14,11,4,2,0
1002499,"Low",478,80.55,6,8,1,0,0
1002500,"High",1528,8.11,2,9,6,3,0
1002501,"Low",1604,54.9,14,5,7,1,0
1002502,"Low",542,54.03,24,7,1,4,0
1002503,"Low",1329,5.12,25,5,0,1,0
1002504,"Low",1398,23.14,11,7,5,4,0
1002505,"Low",1230,26.54,5,0,3,4,0
1002506,"High",312,8.5,11,2,7,2,0
1002507,"Low",990,67.84,24,9,6,3,1
1002508,"High",395,65.4,19,8,4,2,0
1002509,"Low",1831,75.92,22,4,7,0,1
1002510,"Low",574,81.94,23,2,0,1,0
1002511,"Low",1026,55.41,2,11,2,0,0
1002512,"Low",1045,29.61,18,1,3,3,0
1002513,"High",1058,82.7,16,10,2,1,0
1002514,"Low",659,87.54,25,9,4,0,1
1002515,"High",1298,39.03,26,7,1,2,0
1002516,"Low",265,15.43,14,11,4,1,0
1002517,"High",1820,11.44,10,7,6,0,0
1002518,"Low",835,23.38,23,10,3,4,0
1002519,"Low",22,92.21,13,4,1,2,0
1002520,"Low",872,22.22,23,4,3,1,0
1002521,"High",1141,31.07,12,3,5,2,0
1002522,"Low",69,74.73,27,1,2,1,0
1002523,"Low",475,1.59,10,0,2,0,0
1002524,"High",814,44.07,1,7,2,1,0
1002525,"High",1544,65.43,19,5,7,3,0
1002526,"Low",1279,34.01,11,7,6,1,0
1002527,"High",1162,8.95,21,7,10,3,0
1002528,"Low",1404,39.65,21,6,10,2,1
1002529,"Low",853,79.16,2,6,4,5,0
1002530,"Low",1742,95.45,24,9,6,2,1
1002531,"High",1830,79.38,16,0,9,5,0
1002532,"Low",519,41.79,16,8,9,0,0
1002533,"High",1652,61.37,18,10,7,1,0
1002534,"High",733,11.46,21,10,1,1,0
1002535,"Low",540,97.45,25,11,8,3,1
1002536,"Low",131,29.39,1,9,2,5,0
1002537,"Low",1808,12.83,8,3,6,2,0
1002538,"Low",517,97.79,8,0,3,3,0
1002539,"Low",220,93.15,1,11,4,3,0
1002540,"High",798,34.81,23,9,2,5,0
1002541,"High",879,41.04,8,11,4,2,0
1002542,"High",1121,65.54,21,4,0,0,0
1002543,"High",626,14.87,26,11,6,3,0
1002544,"Low",1166,52.67,9,2,5,1,0
1002545,"High",138,78.1,28,3,1,1,0
1002546,"Low",541,58.15,19,5,10,3,0
1002547,"Low",1075,90.39,5,2,5,1,0
1002548,"Low",512,24.81,1,1,4,4,0
1002549,"High",644,90.7,14,7,4,1,0
1002550,"Low",946,14.15,10,6,10,2,0
1002551,"High",345,85.96,28,6,4,2,0
1002552,"High",1313,87.75,26,9,0,1,0
1002553,"Low",1829,62.1,4,4,9,0,0
1002554,"High",1622,0.12,15,7,5,5,0
1002555,"Low",1109,89.83,9,10,9,3,0
1002556,"High",1327,87.67,6,1,0,4,0
1002557,"Low",857,83.97,27,4,5,5,1
1002558,"Low",1444,19.14,29,1,0,1,1
1002559,"Low",1488,54.8,5,5,5,4,0
1002560,"Low",1704,23.71,28,7,6,5,1
1002561,"High",1536,32.08,23,6,2,5,0
1002562,"High",60,7.92,3,5,3,4,0
1002563,"High",1353,90.15,12,0,0,5,0
1002564,"Low",1486,40.24,24,8,1,3,1
1002565,"Low",1268,98.08,18,6,2,4,0
1002566,"High",1372,66.78,21,11,2,2,0
1002567,"High",13,83.14,18,10,2,2,0
1002568,"Low",1038,68.86,20,9,9,0,1
1002569,"High",450,14.9,6,1,0,1,0
1002570,"Low",976,47.21,2,5,0,2,0
1002571,"Low",767,20.4,26,11,2,3,1
1002572,"High",338,27.08,23,4,1,1,0
1002573,"Low",1283,30.6,15,7,1,1,0
1002574,"Low",245,39.18,30,9,3,4,1
1002575,"High",1016,84.02,17,0,8,2,0
1002576,"High",1489,15.77,25,7,8,4,1
1002577,"Low",444,70.81,11,11,6,3,0
1002578,"High",150,52.99,7,7,5,0,0
1002579,"Low",1123,72.59,26,11,8,0,1
1002580,"Low",285,5.35,1,1,4,0,0
1002581,"Low",867,94.45,12,8,8,3,0
1002582,"Low",324,17.83,21,3,9,2,0
1002583,"Low",898,54.45,29,10,7,1,1
1002584,"Low",1262,39.25,1,6,10,5,0
1002585,"High",1390,45.33,1,4,7,3,0
1002586,"Low",1680,27.56,20,5,5,4,0
1002587,"Low",540,74.2,9,0,3,1,0
1002588,"Low",176,65.59,9,3,0,1,0
1002589,"High",1358,60.54,9,1,4,0,0
1002590,"High",1269,46.69,24,1,2,1,0
1002591,"Low",542,52.62,10,6,5,1,0
1002592,"Low",1007,38.12,4,1,0,5,0
1002593,"High",1617,41.17,18,9,0,4,0
1002594,"High",1782,79.16,29,8,4,1,1
1002595,"High",429,19.47,14,5,6,1,0
1002596,"High",1346,63.39,17,3,8,2,0
1002597,"High",737,88.7,3,7,10,5,0
1002598,"Low",21,2.96,18,3,2,4,0
1002599,"High",257,62.01,6,7,10,4,0
1002600,"High",677,43.86,2,5,9,2,0
1002601,"Low",1017,84.63,25,2,6,2,0
1002602,"Low",640,31.1,15,10,9,1,0
1002603,"High",1608,27.38,4,9,10,2,0
1002604,"Low",325,71.75,4,8,10,2,0
1002605,"Low",1296,38.36,1,0,10,5,0
1002606,"Low",1180,18.91,17,9,1,0,0
1002607,"Low",486,6.71,2,8,9,5,0
1002608,"High",1357,48.42,26,11,2,4,0
1002609,"Low",1188,9.94,20,9,0,1,0
1002610,"High",273,5.66,1,5,3,1,0
1002611,"High",1154,35.79,28,11,6,1,1
1002612,"High",1259,20.43,22,11,2,3,0
1002613,"Low",1312,15.62,6,4,6,1,0
1002614,"High",320,21.58,13,0,3,2,0
1002615,"High",844,93.13,14,3,4,4,0
1002616,"High",622,73.47,11,10,1,4,0
1002617,"High",991,45.95,17,9,6,2,0
1002618,"Low",372,20.73,23,2,5,2,0
1002619,"High",803,6.82,6,6,1,1,0
1002620,"Low",940,38.13,12,8,10,5,0
1002621,"Low",661,83.21,29,7,10,5,1
1002622,"Low",1261,84.74,16,0,3,1,0
1002623,"Low",439,64.86,1,8,2,3,0
1002624,"High",1436,52.81,6,8,2,3,0
1002625,"High",1792,71.25,24,7,10,1,1
1002626,"Low",1216,67.26,14,10,9,1,0
1002627,"Low",856,14.21,7,9,2,0,0
1002628,"High",1641,15.29,18,8,3,3,0
1002629,"High",1796,7.34,27,2,2,3,0
1002630,"High",1395,95.82,9,5,6,4,0
1002631,"Low",813,21.04,24,1,10,5,0
1002632,"Low",1437,60.74,16,3,1,5,0
1002633,"Low",1418,25.63,13,5,4,2,0
1002634,"Low",1144,15.04,4,0,8,5,0
1002635,"High",1027,91.27,6,7,7,3,0
1002636,"High",406,98.58,27,11,9,5,0
1002637,"High",421,16.43,28,1,8,5,0
1002638,"High",1818,98.65,5,1,1,5,0
1002639,"High",1216,18.58,12,1,3,1,0
1002640,"Low",1569,82.69,4,4,4,3,0
1002641,"Low",832,67.05,24,7,0,0,0
1002642,"Low",259,86.91,6,8,9,3,0
1002643,"High",1630,30.91,10,4,10,0,0
1002644,"High",1625,19,26,7,7,4,1
1002645,"High",1207,29.76,26,3,10,2,1
1002646,"High",1016,55.44,18,3,6,2,0
1002647,"Low",1326,5.56,3,4,4,0,0
1002648,"Low",386,38.74,8,9,1,2,0
1002649,"High",883,97.14,8,10,5,1,0
1002650,"High",700,38.77,11,4,0,1,0
1002651,"Low",1210,34.61,20,8,2,3,0
1002652,"High",284,90.58,21,10,9,2,0
1002653,"Low",1674,89.87,23,0,6,5,1
1002654,"High",579,3.59,10,6,4,4,0
1002655,"High",633,55.04,14,0,3,3,0
1002656,"High",243,86.18,25,10,10,2,0
1002657,"Low",1083,79.22,14,11,7,2,0
1002658,"Low",990,19.42,20,1,7,3,0
1002659,"High",1557,39.14,8,1,4,3,0
1002660,"Low",659,21.55,30,5,6,0,1
1002661,"High",243,81.64,18,1,1,3,0
1002662,"High",316,87.7,10,6,6,4,0
1002663,"High",1541,50.41,19,7,5,0,0
1002664,"High",1503,84.64,17,4,0,0,0
1002665,"High",463,81.42,16,0,6,2,0
1002666,"Low",1748,76.05,11,5,3,0,0
1002667,"Low",1007,40.99,26,1,6,5,1
1002668,"Low",179,90.31,28,10,9,5,1
1002669,"Low",531,41.83,22,6,9,1,1
1002670,"High",1171,64.45,30,2,9,1,1
1002671,"Low",886,31.44,15,10,8,4,0
1002672,"High",1140,25.76,25,2,1,1,0
1002673,"Low",43,71.81,4,6,6,0,0
1002674,"Low",848,28.99,5,0,6,0,0
1002675,"High",294,30.71,8,5,6,3,0
1002676,"Low",1700,31.78,10,0,8,0,0
1002677,"Low",446,36.86,9,11,2,5,0
1002678,"High",189,23.61,6,6,1,3,0
1002679,"High",1286,55.73,6,0,4,1,0
1002680,"Low",36,37.71,24,4,4,3,0
1002681,"High",1291,14.66,2,8,10,0,0
1002682,"High",1524,7.07,14,1,4,3,0
1002683,"High",949,63.96,28,11,4,2,1
1002684,"Low",1339,46.15,6,5,10,0,0
1002685,"High",904,99.04,18,4,7,5,0
1002686,"High",1338,22.02,13,11,6,4,0
1002687,"High",1023,73.78,3,2,3,4,0
1002688,"Low",1759,43.5,17,9,9,5,1
1002689,"Low",1789,28.29,13,8,10,2,0
1002690,"Low",1779,19.91,21,9,4,3,1
1002691,"High",433,12.29,6,2,6,4,0
1002692,"High",1534,99.58,13,5,7,2,0
1002693,"Low",1546,13.2,27,9,2,2,1
1002694,"High",144,65.97,28,11,4,0,0
1002695,"Low",303,32.78,7,4,6,2,0
1002696,"High",560,83.88,17,1,6,2,0
1002697,"High",1169,13.11,10,10,5,2,0
1002698,"Low",1250,21.36,4,7,4,3,0
1002699,"High",668,33.5,9,9,7,4,0
1002700,"High",1188,49.22,8,9,3,3,0
1002701,"Low",1240,78.41,7,1,10,3,0
1002702,"Low",26,91.56,18,0,3,0,0
1002703,"Low",1702,66.47,2,2,3,3,0
1002704,"Low",1787,66.26,18,7,1,2,0
1002705,"High",1015,26.01,11,2,7,0,0
1002706,"High",103,47.17,19,4,4,1,0
1002707,"High",653,57.17,12,9,4,2,0
1002708,"High",119,21.71,11,4,1,0,0
1002709,"High",758,66.85,6,7,2,3,0
1002710,"High",341,37.9,28,6,10,4,1
1002711,"Low",1576,42.83,10,3,7,4,0
1002712,"High",436,4.84,2,1,1,3,0
1002713,"High",989,48.48,6,10,8,3,0
1002714,"Low",166,40.31,10,5,2,2,0
1002715,"High",1229,28.15,30,5,6,5,1
1002716,"High",1166,61.68,22,9,3,1,0
1002717,"Low",1458,22.89,24,0,8,0,1
1002718,"High",1195,46.03,6,3,4,0,0
1002719,"High",952,51.5,7,4,3,4,0
1002720,"Low",761,8.26,6,2,5,0,0
1002721,"High",1021,31.08,23,3,2,1,0
1002722,"High",502,82.26,24,11,6,3,0
1002723,"High",86,93.52,3,3,8,3,0
1002724,"High",1511,83.75,11,10,9,0,0
1002725,"Low",1340,76.7,25,7,3,5,1
1002726,"Low",1523,95.35,9,10,9,4,0
1002727,"High",562,9.82,15,3,6,2,0
1002728,"High",1050,54.25,10,3,5,5,0
1002729,"High",1237,33.4,24,9,8,5,1
1002730,"High",1616,2.57,30,8,10,3,1
1002731,"Low",516,23.1,16,9,10,5,0
1002732,"High",1809,52.67,9,10,4,3,0
1002733,"Low",691,23.97,9,6,9,5,0
1002734,"Low",738,89.02,14,9,9,4,0
1002735,"High",250,45.56,2,4,8,1,0
1002736,"Low",586,31.21,9,6,1,5,0
1002737,"Low",1366,92.66,1,4,7,1,0
1002738,"High",1597,7.37,25,8,0,3,0
1002739,"High",1122,30.61,18,10,10,0,0
1002740,"Low",1542,94.25,19,2,0,2,0
1002741,"High",156,60.05,4,5,2,0,0
1002742,"High",384,25.23,28,5,4,2,0
1002743,"High",1289,72.58,15,10,0,1,0
1002744,"High",1409,16.78,7,10,9,5,0
1002745,"High",577,93.03,3,10,8,1,0
1002746,"Low",1065,79.28,15,4,5,1,0
1002747,"Low",868,53.78,11,11,2,1,0
1002748,"Low",1144,56.71,18,7,10,1,0
1002749,"High",496,93.51,27,3,8,0,0
1002750,"High",1133,12.43,11,9,5,4,0
1002751,"Low",315,82.46,22,6,8,1,0
1002752,"Low",1396,0.1,20,0,9,5,0
1002753,"Low",717,99.21,5,9,0,2,0
1002754,"Low",818,51.1,16,10,4,3,0
1002755,"Low",957,63.88,7,1,0,4,0
1002756,"High",225,49.42,1,6,9,1,0
1002757,"High",64,74.7,24,6,6,1,0
1002758,"Low",1409,47.8,9,10,1,2,0
1002759,"Low",1249,37.27,18,4,8,0,0
1002760,"Low",62,36.3,22,2,2,0,0
1002761,"High",1147,70.69,5,8,9,5,0
1002762,"Low",530,81.37,27,4,1,3,0
1002763,"Low",1368,73.98,16,11,1,0,0
1002764,"Low",607,98.07,7,10,9,2,0
1002765,"Low",1436,97.02,3,9,6,1,0
